IM0 1177 4473 7019
65 1083
64 1976
61 2055
68 2131
69 2217
63 2498
62 2574
67 2694
57 2853
54 2999
56 3112
66 3167
36 3268
6 3543
58 3605
55 3641
70 3866
37 3887
39 4067
60 4178
45 4187
38 4196
59 4336
40 4409
47 4484
49 4545
46 4639
2 4660
50 4815
48 4958
3 5067
1 5232
4 5252
51 5328
5 5616

IM1 - 1845 4293
41 2421
11 2645
9 2789
12 2953
23 2976
7 3052
17 3303
8 3344
25 3411
24 3562
10 3575
15 3625
28 3704
0 4015
16 4032
27 4060
13 4140
18 4237
26 4455
35 4491
72 4533
19 4571
14 4681
43 4802
29 4845
20 4875
34 4990
53 5217
33 5402
42 5520
21 5600
44 5785
32 5920
22 6063
30 6082
52 6248
71 6723
31 7031

IM2 4944 7628 -
6 2277
69 2675
68 2935
65 3238
1 3287
70 3550
67 3741
2 3752
64 3920
60 3950
66 4067
3 4258
59 4407
58 4465
57 4600
4 4724
49 4747
63 4881
56 4937
61 4937
5 5021
50 5174
55 5255
62 5288
54 5620
51 5648
47 5723
45 5927
36 5980
48 5993
39 6260
46 6447
37 6659
40 6808
38 6973

IM3 689 3343 6666
52 677
53 1481
0 2243
35 2496
34 2677
28 2697
32 2882
25 3024
33 3053
27 3151
23 3199
24 3358
11 3428
26 3451
41 3609
17 3680
29 3756
12 3770
15 3945
16 4159
7 4253
31 4268
30 4319
10 4387
43 4414
8 4613
18 4649
42 4787
19 4863
44 5099
13 5122
20 5202
14 5576
71 5875
72 5955
9 3989
21 6105
22 6656
